Draft Year,Country,age,Nationality
2022,SK,18.0,Slovakia
2022,SK,18.0,Slovakia
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,SE,18.0,Sweden
2022,CZ,18.0,Czechia
2022,CA,18.0,Canada
2022,AT,18.0,Austria
2022,CA,18.0,Canada
2022,RU,18.0,Russia
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,US,18.0,USA
2022,US,18.0,USA
2022,SE,18.0,Sweden
2022,SE,18.0,Sweden
2022,FI,18.0,Finland
2022,CH,18.0,Switzerland
2022,SE,18.0,Sweden
2022,RU,18.0,Russia
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,US,18.0,USA
2022,RU,18.0,Russia
2022,US,18.0,USA
2022,SK,18.0,Slovakia
2022,SE,18.0,Sweden
2022,CZ,18.0,Czechia
2022,CA,18.0,Canada
2022,FI,18.0,Finland
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,RU,18.0,Russia
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,FI,18.0,Finland
2022,CA,18.0,Canada
2022,DE,18.0,Germany
2022,CA,18.0,Canada
2022,SE,18.0,Sweden
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,CZ,18.0,Czechia
2022,FI,18.0,Finland
2022,CA,18.0,Canada
2022,US,18.0,USA
2022,RU,19.0,Russia
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,SE,18.0,Sweden
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,FI,18.0,Finland
2022,FI,18.0,Finland
2022,RU,18.0,Russia
2022,CA,18.0,Canada
2022,US,18.0,USA
2022,SK,18.0,Slovakia
2022,SE,18.0,Sweden
2022,SE,18.0,Sweden
2022,US,18.0,USA
2022,FI,18.0,Finland
2022,CA,18.0,Canada
2022,US,18.0,USA
2022,RU,18.0,Russia
2022,RU,18.0,Russia
2022,SE,18.0,Sweden
2022,FI,18.0,Finland
2022,RU,18.0,Russia
2022,AT,18.0,Austria
2022,US,18.0,USA
2022,RU,18.0,Russia
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,SE,18.0,Sweden
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,FI,18.0,Finland
2022,SE,18.0,Sweden
2022,CA,21.0,Canada
2022,CZ,18.0,Czechia
2022,CA,18.0,Canada
2022,CA,19.0,Canada
2022,US,20.0,USA
2022,US,18.0,USA
2022,SE,18.0,Sweden
2022,CZ,18.0,Czechia
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,SE,18.0,Sweden
2022,CA,18.0,Canada
2022,US,19.0,USA
2022,CA,20.0,Canada
2022,SE,18.0,Sweden
2022,CA,18.0,Canada
2022,CA,20.0,Canada
2022,CA,18.0,Canada
2022,RU,18.0,Russia
2022,RU,18.0,Russia
2022,US,19.0,USA
2022,CA,18.0,Canada
2022,CA,19.0,Canada
2022,CA,20.0,Canada
2022,CA,19.0,Canada
2022,CA,18.0,Canada
2022,US,18.0,USA
2022,RU,18.0,Russia
2022,LV,18.0,Latvia
2022,RU,18.0,Russia
2022,US,18.0,USA
2022,SE,21.0,Sweden
2022,CA,19.0,Canada
2022,US,18.0,USA
2022,SE,18.0,Sweden
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,CA,19.0,Canada
2022,SE,18.0,Sweden
2022,CA,20.0,Canada
2022,CA,18.0,Canada
2022,CA,19.0,Canada
2022,US,18.0,USA
2022,RU,18.0,Russia
2022,RU,19.0,Russia
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,RU,18.0,Russia
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,CZ,18.0,Czechia
2022,CA,19.0,Canada
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,CA,20.0,Canada
2022,CA,19.0,Canada
2022,RU,18.0,Russia
2022,FI,18.0,Finland
2022,CA,18.0,Canada
2022,DE,18.0,Germany
2022,SE,18.0,Sweden
2022,CA,18.0,Canada
2022,US,19.0,USA
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,RU,18.0,Russia
2022,LV,18.0,Latvia
2022,SE,18.0,Sweden
2022,US,20.0,USA
2022,US,20.0,USA
2022,RU,18.0,Russia
2022,CA,18.0,Canada
2022,PL,20.0,Poland
2022,US,18.0,USA
2022,US,20.0,USA
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,SE,18.0,Sweden
2022,US,19.0,USA
2022,US,18.0,USA
2022,CZ,18.0,Czechia
2022,US,18.0,USA
2022,US,20.0,USA
2022,CA,20.0,Canada
2022,SE,18.0,Sweden
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,RU,20.0,Russia
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,CA,20.0,Canada
2022,US,18.0,USA
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,SK,18.0,Slovakia
2022,CA,18.0,Canada
2022,SE,18.0,Sweden
2022,SE,18.0,Sweden
2022,US,18.0,USA
2022,RU,18.0,Russia
2022,US,20.0,USA
2022,US,19.0,USA
2022,US,18.0,USA
2022,FI,20.0,Finland
2022,CA,18.0,Canada
2022,CA,19.0,Canada
2022,FI,18.0,Finland
2022,RU,18.0,Russia
2022,FI,18.0,Finland
2022,CA,18.0,Canada
2022,CA,18.0,Canada
2022,SE,18.0,Sweden
2022,US,18.0,USA
